allUpdates.txt


ctan.altspu.ru.txt
Changed at:			 Timestamp
ctan.math.washington.edu.txt
Changed at:			 Timestamp
-				 2020-03-13T09:02
2020-03-13T14:46:28		 2020-03-13T13:02
2020-03-13T18:47:31		 2020-03-13T17:02
2020-03-13T22:49:45		 2020-03-13T21:02
2020-03-14T02:49:03		 2020-03-14T01:02
2020-03-14T06:48:30		 2020-03-14T05:02
2020-03-14T10:48:32		 2020-03-14T09:02
2020-03-14T14:45:59		 2020-03-14T13:02
2020-03-14T18:47:54		 2020-03-14T17:02
2020-03-14T22:45:14		 2020-03-14T21:02
2020-03-15T02:47:58		 2020-03-15T01:02
2020-03-15T07:24:57		 2020-03-15T05:02


ctan.mines-albi.fr.txt
Changed at:			 Timestamp
-				 2020-03-13T09:02
2020-03-13T16:47:21		 2020-03-13T15:02
2020-03-13T22:49:48		 2020-03-13T21:02
2020-03-14T04:48:45		 2020-03-14T03:02
2020-03-14T10:48:37		 2020-03-14T09:02
2020-03-14T16:46:13		 2020-03-14T15:02
2020-03-14T22:45:16		 2020-03-14T21:02
2020-03-15T04:45:17		 2020-03-15T03:02


ctan.mirror.colo-serv.net.txt
Changed at:			 Timestamp
-				 2020-03-13T07:02
2020-03-13T13:01:58		 2020-03-13T11:02
2020-03-13T17:02:54		 2020-03-13T15:02
2020-03-13T21:04:41		 2020-03-13T19:02
2020-03-14T01:05:04		 2020-03-13T23:02
2020-03-14T05:04:14		 2020-03-14T03:02
2020-03-14T09:00:39		 2020-03-14T07:02
2020-03-14T13:00:10		 2020-03-14T11:02
2020-03-14T17:01:53		 2020-03-14T15:02
2020-03-14T21:00:47		 2020-03-14T19:02
2020-03-15T01:02:28		 2020-03-14T23:02
2020-03-15T05:00:50		 2020-03-15T03:02
2020-03-15T09:00:44		 2020-03-15T07:02


ctan.mirror.ftn.uns.ac.rs.txt
Changed at:			 Timestamp
-				 2020-03-13T07:02
2020-03-13T12:30:51		 2020-03-13T11:02
2020-03-13T16:31:37		 2020-03-13T15:02
2020-03-13T20:33:06		 2020-03-13T19:02
2020-03-14T00:34:03		 2020-03-13T23:02
2020-03-14T04:33:07		 2020-03-14T03:02
2020-03-14T08:34:30		 2020-03-14T07:02
2020-03-14T12:34:08		 2020-03-14T11:02
2020-03-14T16:30:24		 2020-03-14T15:02
2020-03-14T20:34:37		 2020-03-14T19:02
2020-03-15T00:31:27		 2020-03-14T23:02
2020-03-15T04:34:48		 2020-03-15T03:02
2020-03-15T08:34:06		 2020-03-15T07:02


ctan.mirror.garr.it.txt
Changed at:			 Timestamp
-				 2020-03-13T06:02
2020-03-13T12:04:20		 2020-03-13T11:02
2020-03-13T16:10:40		 2020-03-13T15:02
2020-03-13T20:01:23		 2020-03-13T18:02
2020-03-14T00:08:02		 2020-03-13T23:02
2020-03-14T04:07:08		 2020-03-14T03:02
2020-03-14T08:02:42		 2020-03-14T06:02
2020-03-14T12:12:56		 2020-03-14T11:02
2020-03-14T16:03:33		 2020-03-14T14:02
2020-03-14T20:08:09		 2020-03-14T19:02
2020-03-15T00:04:37		 2020-03-14T23:02
2020-03-15T04:03:00		 2020-03-15T02:02
2020-03-15T08:07:55		 2020-03-15T07:02


ctan.mirrors.hoobly.com.txt
Changed at:			 Timestamp
-				 2020-03-13T05:02
2020-03-13T12:14:40		 2020-03-13T11:02
2020-03-13T18:15:55		 2020-03-13T17:02
2020-03-14T00:18:19		 2020-03-13T23:02
2020-03-14T06:16:56		 2020-03-14T05:02
2020-03-14T12:18:02		 2020-03-14T11:02
2020-03-14T18:15:15		 2020-03-14T17:02
2020-03-15T00:15:21		 2020-03-14T23:02
2020-03-15T06:15:10		 2020-03-15T05:02


ctan.net.txt
Changed at:			 Timestamp
-				 2020-03-13T00:02
2020-03-14T01:51:58		 2020-03-14T00:02
2020-03-15T01:50:03		 2020-03-15T00:02


ctan.space-pro.be.txt
Changed at:			 Timestamp
-				 2020-03-13T03:02
2020-03-14T04:17:32		 2020-03-14T03:02
2020-03-15T04:18:46		 2020-03-15T03:02


ctan.tetaneutral.net.txt
Changed at:			 Timestamp
-				 2020-03-13T09:02
2020-03-13T16:15:55		 2020-03-13T15:02
2020-03-13T22:18:08		 2020-03-13T21:02
2020-03-14T04:17:32		 2020-03-14T03:02
2020-03-14T16:19:27		 2020-03-14T15:02
2020-03-14T22:19:13		 2020-03-14T21:02
2020-03-15T04:18:46		 2020-03-15T03:02
2020-03-15T10:17:21		 2020-03-15T09:02


ctan.triasinformatica.nl.txt
Changed at:			 Timestamp
-				 no connection


ftp.acc.umu.se.txt
Changed at:			 Timestamp
-				 2020-03-13T03:02
2020-03-13T16:26:26		 2020-03-13T15:02
2020-03-14T04:33:09		 2020-03-14T03:02
2020-03-14T16:25:10		 2020-03-14T15:02
2020-03-14T16:30:27		 2020-03-14T03:02
2020-03-14T16:35:44		 2020-03-14T15:02
2020-03-15T04:29:37		 2020-03-15T03:02
2020-03-13T16:26:26		 2020-03-13T15:02
2020-03-14T04:33:09		 2020-03-14T03:02


ftp.math.purdue.edu.txt
Changed at:			 Timestamp
-				 2020-03-13T07:02
2020-03-13T17:34:11		 2020-03-13T13:02
2020-03-13T23:31:33		 2020-03-13T19:02
2020-03-14T06:32:56		 2020-03-14T01:02
2020-03-14T11:30:49		 2020-03-14T07:02
2020-03-14T23:33:04		 2020-03-14T19:02
2020-03-15T06:31:00		 2020-03-15T01:02


mirror.aarnet.edu.au.txt
Changed at:			 Timestamp
-				 2020-03-13T07:02
2020-03-13T14:41:16		 2020-03-13T13:02
2020-03-13T20:43:43		 2020-03-13T19:02
2020-03-14T02:43:52		 2020-03-14T01:02
2020-03-14T08:45:03		 2020-03-14T07:02
2020-03-15T02:42:44		 2020-03-15T01:02
2020-03-15T08:44:52		 2020-03-15T07:02


mirror.ibcp.fr.txt
Changed at:			 Timestamp
-				 2020-03-13T00:02
2020-03-14T01:51:57		 2020-03-14T00:02
2020-03-15T01:50:02		 2020-03-15T00:02


mirror.informatik.hs-fulda.de.txt
Changed at:			 Timestamp
-				 2020-03-13T01:02
2020-03-14T02:43:55		 2020-03-14T01:02
2020-03-15T02:42:46		 2020-03-15T01:02


mirror.koddos.net.txt
Changed at:			 Timestamp
-				 2020-03-13T02:02
2020-03-14T03:35:46		 2020-03-14T02:02
2020-03-15T03:36:32		 2020-03-15T02:02


mirror.marwan.ma.txt
Changed at:			 Timestamp
-				 2020-03-13T00:02
2020-03-14T01:31:02		 2020-03-14T00:02
2020-03-15T01:33:35		 2020-03-15T00:02


mirror.szerverem.hu.txt
Changed at:			 Timestamp
-				 2020-03-13T05:02
2020-03-14T06:22:14		 2020-03-14T05:02
2020-03-15T06:25:48		 2020-03-15T05:02


mirror.yongbok.net.txt
Changed at:			 Timestamp
-				 2020-03-13T09:02
2020-03-13T12:04:12		 2020-03-13T10:02
2020-03-13T13:01:59		 2020-03-13T11:02
2020-03-13T14:04:39		 2020-03-13T12:02
2020-03-13T15:02:07		 2020-03-13T13:02
2020-03-13T16:05:21		 2020-03-13T14:02
2020-03-13T17:02:55		 2020-03-13T15:02
2020-03-13T18:05:27		 2020-03-13T16:02
2020-03-13T19:03:11		 2020-03-13T17:02
2020-03-13T20:01:11		 2020-03-13T18:02
2020-03-13T21:04:42		 2020-03-13T19:02
2020-03-13T22:02:25		 2020-03-13T20:02
2020-03-13T23:05:27		 2020-03-13T21:02
2020-03-14T00:02:40		 2020-03-13T22:02
2020-03-14T01:05:05		 2020-03-13T23:02
2020-03-14T02:02:12		 2020-03-14T00:02
2020-03-14T03:04:34		 2020-03-14T01:02
2020-03-14T04:01:51		 2020-03-14T02:02
2020-03-14T05:04:15		 2020-03-14T03:02
2020-03-14T06:01:21		 2020-03-14T04:02
2020-03-14T07:04:03		 2020-03-14T05:02
2020-03-14T08:02:34		 2020-03-14T06:02
2020-03-14T09:05:54		 2020-03-14T07:02
2020-03-14T10:04:15		 2020-03-14T08:02
2020-03-14T11:04:25		 2020-03-14T09:02
